Name             Version ID                  Fix Versions
---------------- ------- ------------------- ------------
ecdsa            0.19.2  PYSEC-2026-1325
pillow           10.4.0  PYSEC-2026-165      12.2.0
pillow           10.4.0  PYSEC-2026-165      12.2.0
pillow           10.4.0  PYSEC-2026-2250     12.2.0
pillow           10.4.0  PYSEC-2026-2253     12.3.0
pillow           10.4.0  PYSEC-2026-2255     12.3.0
pillow           10.4.0  PYSEC-2026-2257     12.3.0
pillow           10.4.0  PYSEC-2026-2256     12.3.0
pillow           10.4.0  PYSEC-2026-2254     12.3.0
pillow           10.4.0  PYSEC-2026-2252     12.2.0
pillow           10.4.0  PYSEC-2026-2249     12.1.1
pillow           10.4.0  PYSEC-2026-2874     12.2.0
pillow           10.4.0  PYSEC-2026-3453     12.3.0
pillow           10.4.0  PYSEC-2026-3451     12.3.0
pillow           10.4.0  PYSEC-2026-2254     12.3.0
pillow           10.4.0  PYSEC-2026-2253     12.3.0
pillow           10.4.0  PYSEC-2026-2256     12.3.0
pillow           10.4.0  PYSEC-2026-2255     12.3.0
pillow           10.4.0  PYSEC-2026-3451     12.3.0
pillow           10.4.0  PYSEC-2026-3453     12.3.0
pillow           10.4.0  PYSEC-2026-3454     12.3.0
pillow           10.4.0  PYSEC-2026-3495     12.3.0
pillow           10.4.0  PYSEC-2026-3496     12.3.0
pillow           10.4.0  PYSEC-2026-3494     12.3.0
pillow           10.4.0  PYSEC-2026-3493     12.3.0
pypdf            5.1.0   PYSEC-2026-1833     6.1.3
pypdf            5.1.0   PYSEC-2026-1829     6.6.0
pypdf            5.1.0   PYSEC-2026-1832     6.4.0
pypdf            5.1.0   PYSEC-2026-1830     6.0.0
pypdf            5.1.0   PYSEC-2026-1831     6.1.3
pypdf            5.1.0   PYSEC-2026-1827     6.6.2
pypdf            5.1.0   PYSEC-2026-1828     6.6.0
pypdf            5.1.0   PYSEC-2026-3023     6.9.1
pypdf            5.1.0   PYSEC-2026-3022     6.13.0
pypdf            5.1.0   PYSEC-2026-3017     6.7.4
pypdf            5.1.0   PYSEC-2026-3019     6.8.0
pypdf            5.1.0   PYSEC-2026-3020     6.12.2
pypdf            5.1.0   PYSEC-2026-3018     6.13.1
pypdf            5.1.0   PYSEC-2026-3021     6.10.1
pypdf            5.1.0   PYSEC-2026-3011     6.10.2
pypdf            5.1.0   PYSEC-2026-3007     6.10.2
pypdf            5.1.0   PYSEC-2026-3004     6.12.0
pypdf            5.1.0   PYSEC-2026-3005     6.7.2
pypdf            5.1.0   PYSEC-2026-3006     6.10.0
pypdf            5.1.0   PYSEC-2026-3014     6.7.5
pypdf            5.1.0   PYSEC-2026-3024     6.7.1
pypdf            5.1.0   PYSEC-2026-3026     6.10.2
pypdf            5.1.0   PYSEC-2026-3016     6.12.0
pypdf            5.1.0   PYSEC-2026-3010     6.12.2
pypdf            5.1.0   PYSEC-2026-3015     6.7.1
pypdf            5.1.0   PYSEC-2026-3025     6.12.1
pypdf            5.1.0   PYSEC-2026-3013     6.7.1
pypdf            5.1.0   PYSEC-2026-3009     6.13.0
pypdf            5.1.0   PYSEC-2026-3012     6.9.2
pypdf            5.1.0   PYSEC-2026-3027     6.7.3
pypdf            5.1.0   PYSEC-2026-3613     6.14.2
pypdf            5.1.0   PYSEC-2026-3610     6.14.0
pypdf            5.1.0   PYSEC-2026-3612     6.14.1
pypdf            5.1.0   PYSEC-2026-3611     6.14.0
pypdf            5.1.0   PYSEC-2026-3655     6.15.0
pypdf            5.1.0   PYSEC-2026-3656     6.15.0
pypdf            5.1.0   GHSA-jm82-fx9c-mx94 6.13.3
python-dotenv    1.0.1   PYSEC-2026-2270     1.2.2
python-jose      3.3.0   PYSEC-2024-233      3.4.0
python-jose      3.3.0   PYSEC-2024-232      3.4.0
python-jose      3.3.0   PYSEC-2024-232      3.4.0
python-jose      3.3.0   PYSEC-2024-233      3.4.0
python-jose      3.3.0   PYSEC-2025-185
python-multipart 0.0.20  PYSEC-2026-1852     0.0.22
python-multipart 0.0.20  PYSEC-2026-3038     0.0.26
python-multipart 0.0.20  PYSEC-2026-3037     0.0.30
python-multipart 0.0.20  PYSEC-2026-3036     0.0.30
python-multipart 0.0.20  PYSEC-2026-3040     0.0.31
python-multipart 0.0.20  PYSEC-2026-3039     0.0.27
requests         2.32.3  PYSEC-2026-1872     2.32.4
requests         2.32.3  PYSEC-2026-2275     2.33.0
starlette        0.41.3  PYSEC-2026-161      1.0.1
starlette        0.41.3  PYSEC-2026-161      1.0.1
starlette        0.41.3  PYSEC-2026-248      1.3.0
starlette        0.41.3  PYSEC-2026-249      1.3.1
starlette        0.41.3  PYSEC-2026-248      1.3.0
starlette        0.41.3  PYSEC-2026-1942     0.49.1
starlette        0.41.3  PYSEC-2026-1941     0.47.2
starlette        0.41.3  PYSEC-2026-2281     1.1.0
starlette        0.41.3  PYSEC-2026-2280     1.1.0
